Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AT,US,,9,,specimens,ml,M,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AT,US,,9,,specimens,ml,M,
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AT,US,,,18,specimens,Number of specimens,M,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AU,GB,XX,,32,specimens,ml,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AU,NL,,50,,specimens,Number of specimens,T,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AU,US,,5,,specimens,ml,M,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AU,US,,,8,specimens,ml,T,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AU,US,,2,1,specimens,Number of specimens,M,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,BD,US,,,240,specimens,ml,M,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,BE,BR,,,5,derivatives,Number of specimens,S,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,BE,BR,,,5,specimens,Number of specimens,M,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,BE,KR,JP,20,,specimens,ml,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,BE,KR,JP,,40,specimens,Number of specimens,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,BE,ZA,XX,30,,skulls,Number of specimens,T,W
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,BR,GB,US,,0.006,specimens,kg,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,BR,US,,,14,specimens,ml,T,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,BR,US,,,9,specimens,Number of specimens,T,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CA,FR,XX,,20,specimens,ml,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CA,GB,US,,2,specimens,Number of specimens,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CA,GB,XX,,4,specimens,ml,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CA,JP,XX,,4,specimens,g,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CA,US,,,37,specimens,ml,M,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CA,US,,,54,specimens,ml,T,F
